== testcases/dectest/base.decTest: tests=1170, success=0, failure=0, skip=1170
== testcases/dectest/abs.decTest: tests=89, success=0, failure=0, skip=89
== testcases/dectest/add.decTest: tests=2100, success=0, failure=0, skip=2100
== testcases/dectest/and.decTest: tests=279, success=0, failure=0, skip=279
== testcases/dectest/clamp.decTest: tests=132, success=0, failure=0, skip=132
== testcases/dectest/class.decTest: tests=84, success=0, failure=0, skip=84
== testcases/dectest/compare.decTest: tests=639, success=0, failure=0, skip=639
== testcases/dectest/comparesig.decTest: tests=625, success=0, failure=0, skip=625
== testcases/dectest/comparetotal.decTest: tests=670, success=0, failure=0, skip=670
== testcases/dectest/comparetotmag.decTest: tests=664, success=0, failure=0, skip=664
== testcases/dectest/copy.decTest: tests=43, success=0, failure=0, skip=43
== testcases/dectest/copyabs.decTest: tests=43, success=0, failure=0, skip=43
== testcases/dectest/copynegate.decTest: tests=43, success=0, failure=0, skip=43
== testcases/dectest/copysign.decTest: tests=111, success=0, failure=0, skip=111
== testcases/dectest/divide.decTest: tests=631, success=0, failure=0, skip=631
== testcases/dectest/divideint.decTest: tests=389, success=0, failure=0, skip=389
== testcases/dectest/exp.decTest: tests=440, success=0, failure=0, skip=440
== testcases/dectest/fma.decTest: tests=2612, success=0, failure=0, skip=2612
== testcases/dectest/inexact.decTest: tests=152, success=0, failure=0, skip=152
== testcases/dectest/invert.decTest: tests=128, success=0, failure=0, skip=128
== testcases/dectest/ln.decTest: tests=414, success=0, failure=0, skip=414
== testcases/dectest/logb.decTest: tests=128, success=0, failure=0, skip=128
== testcases/dectest/log10.decTest: tests=389, success=0, failure=0, skip=389
== testcases/dectest/max.decTest: tests=328, success=0, failure=0, skip=328
== testcases/dectest/maxmag.decTest: tests=313, success=0, failure=0, skip=313
== testcases/dectest/min.decTest: tests=317, success=0, failure=0, skip=317
== testcases/dectest/minmag.decTest: tests=303, success=0, failure=0, skip=303
== testcases/dectest/minus.decTest: tests=113, success=0, failure=0, skip=113
== testcases/dectest/multiply.decTest: tests=521, success=0, failure=0, skip=521
== testcases/dectest/nextminus.decTest: tests=104, success=0, failure=0, skip=104
== testcases/dectest/nextplus.decTest: tests=106, success=0, failure=0, skip=106
== testcases/dectest/nexttoward.decTest: tests=341, success=0, failure=0, skip=341
== testcases/dectest/or.decTest: tests=276, success=0, failure=0, skip=276
== testcases/dectest/plus.decTest: tests=122, success=0, failure=0, skip=122
== testcases/dectest/power.decTest: tests=1207, success=0, failure=0, skip=1207
== testcases/dectest/powersqrt.decTest: tests=2856, success=0, failure=0, skip=2856
== testcases/dectest/quantize.decTest: tests=775, success=0, failure=0, skip=775
== testcases/dectest/randoms.decTest: tests=4000, success=0, failure=0, skip=4000
== testcases/dectest/reduce.decTest: tests=168, success=0, failure=0, skip=168
== testcases/dectest/remainder.decTest: tests=517, success=0, failure=0, skip=517
== testcases/dectest/remaindernear.decTest: tests=446, success=0, failure=0, skip=446
== testcases/dectest/rescale.decTest: tests=617, success=0, failure=0, skip=617
== testcases/dectest/rotate.decTest: tests=195, success=0, failure=0, skip=195
== testcases/dectest/rounding.decTest: tests=1030, success=0, failure=0, skip=1030
== testcases/dectest/samequantum.decTest: tests=333, success=0, failure=0, skip=333
== testcases/dectest/scaleb.decTest: tests=155, success=0, failure=0, skip=155
== testcases/dectest/shift.decTest: tests=200, success=0, failure=0, skip=200
== testcases/dectest/squareroot.decTest: tests=3586, success=0, failure=0, skip=3586
== testcases/dectest/subtract.decTest: tests=681, success=0, failure=0, skip=681
== testcases/dectest/tointegral.decTest: tests=168, success=0, failure=0, skip=168
== testcases/dectest/tointegralx.decTest: tests=180, success=0, failure=0, skip=180
== testcases/dectest/trim.decTest: tests=110, success=0, failure=0, skip=110
== testcases/dectest/xor.decTest: tests=277, success=0, failure=0, skip=277
== testcases/dectest/dsBase.decTest: tests=909, success=0, failure=0, skip=909
== testcases/dectest/dsEncode.decTest: tests=268, success=0, failure=0, skip=268
== testcases/dectest/decSingle.decTest: tests=1177, success=0, failure=0, skip=1177
== testcases/dectest/ddAbs.decTest: tests=75, success=0, failure=0, skip=75
== testcases/dectest/ddAdd.decTest: tests=1091, success=0, failure=0, skip=1091
== testcases/dectest/ddAnd.decTest: tests=287, success=0, failure=0, skip=287
== testcases/dectest/ddBase.decTest: tests=947, success=0, failure=0, skip=947
== testcases/dectest/ddCanonical.decTest: tests=230, success=0, failure=0, skip=230
== testcases/dectest/ddClass.decTest: tests=42, success=0, failure=0, skip=42
== testcases/dectest/ddCompare.decTest: tests=649, success=0, failure=0, skip=649
== testcases/dectest/ddCompareSig.decTest: tests=559, success=0, failure=0, skip=559
== testcases/dectest/ddCompareTotal.decTest: tests=613, success=0, failure=0, skip=613
== testcases/dectest/ddCompareTotalMag.decTest: tests=613, success=0, failure=0, skip=613
== testcases/dectest/ddCopy.decTest: tests=43, success=0, failure=0, skip=43
== testcases/dectest/ddCopyAbs.decTest: tests=43, success=0, failure=0, skip=43
== testcases/dectest/ddCopyNegate.decTest: tests=43, success=0, failure=0, skip=43
== testcases/dectest/ddCopySign.decTest: tests=107, success=0, failure=0, skip=107
== testcases/dectest/ddDivide.decTest: tests=717, success=0, failure=0, skip=717
== testcases/dectest/ddDivideInt.decTest: tests=373, success=0, failure=0, skip=373
== testcases/dectest/ddEncode.decTest: tests=376, success=0, failure=0, skip=376
== testcases/dectest/ddFMA.decTest: tests=1378, success=0, failure=0, skip=1378
== testcases/dectest/ddInvert.decTest: tests=151, success=0, failure=0, skip=151
== testcases/dectest/ddLogB.decTest: tests=108, success=0, failure=0, skip=108
== testcases/dectest/ddMax.decTest: tests=257, success=0, failure=0, skip=257
== testcases/dectest/ddMaxMag.decTest: tests=243, success=0, failure=0, skip=243
== testcases/dectest/ddMin.decTest: tests=247, success=0, failure=0, skip=247
== testcases/dectest/ddMinMag.decTest: tests=233, success=0, failure=0, skip=233
== testcases/dectest/ddMinus.decTest: tests=43, success=0, failure=0, skip=43
== testcases/dectest/ddMultiply.decTest: tests=446, success=0, failure=0, skip=446
== testcases/dectest/ddNextMinus.decTest: tests=84, success=0, failure=0, skip=84
== testcases/dectest/ddNextPlus.decTest: tests=84, success=0, failure=0, skip=84
== testcases/dectest/ddNextToward.decTest: tests=304, success=0, failure=0, skip=304
